name,AtA1,AtA1_is,AtA1_geom,AtA1_rhoV,AtA1_rhoV_P,AtA1_rhoV_area,AtA1_bl,AtA1_rhoV_bl,AtA1_rhoV_P_bl,AtA1_rhoV_area_bl,AtD,oscosa,oscosa_bl,Yp,Yp_fr,dPo_Po,j_is,glob_inc,psi_stag,M_sh,Mt_area,s_max,dev,Pt_area,Pt_is,Pt_area_bl,dr,dH,TC,SC,PC,Ax2Ax1,A,M,M2,Axt,L,load_coef,taskId,label,cat_PC,cat_TC,cat_SC,cat_load_coef,cat_Ax2Ax1,cat_A
M95A60SC80TC4PC55_psi040Axt99A95,1.0619651294385488,1.0499842209176797,1.0481696114843289,1.0481602780133348,1.053642717844198,1.0581732326611033,1.0481756650933451,1.048485592629772,1.054012938138673,1.0586940565056242,1.076814322437418,1.0712298107865628,1.0573257376494707,0.03248022646412069,0.0068209978985661335,-0.004368891196101157,13,-0.44291328950269815,0.6700684881272991,1.223787751692303,0.7817574957354406,0.39563916463537707,0,0.4785105986573196,0.49642930642364136,0.4790682283559691,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC55_psi040Axt99A95/MISES/,0.6634956877803874,0.04,0.8009565270152262,0.8,0.95,50.61264871145625,0.95,0.600302724739996,0.9913402976593602,0.6700684881272991,0.4,M95A60SC80TC4PC55_psi040Axt99A95,M95A60SC80TC4PC55_psi040Axt99A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.61264871145625
M95A60SC80TC4PC60_psi040Axt99A95,1.0634179469213956,1.051530232660905,1.0490601039967993,1.0490277536771593,1.054644516456889,1.0591530090726398,1.0490581696236179,1.0493517276110413,1.0549839806678616,1.0596717508454994,1.0799108752073483,1.0726794883507123,1.0582109661215104,0.03291307219935141,0.007177244935256649,-0.004587277592192392,13,-0.4916624315885798,0.5127143015697015,1.2264035398140036,0.7800627858248765,0.39811090804883886,3.1459395631046903,0.4792283602865804,0.49759238728183797,0.47978273368654994,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC60_psi040Axt99A95/MISES/,0.6634956877803874,0.04,0.8009565270152262,0.8,0.95,50.61264871145625,0.95,0.600302724739996,0.9913525162584069,0.5127143015697015,0.4,M95A60SC80TC4PC60_psi040Axt99A95,M95A60SC80TC4PC60_psi040Axt99A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.61264871145625
M95A60SC80TC4PC10_psi040Axt102A95,1.0266907730338821,1.0248713315939122,1.019442476198444,1.0195829172368867,1.0246509834540176,1.0303464601173051,1.0183935898671803,1.019654629635419,1.02473262749365,1.0305282765980652,1.0022040859775005,1.0100041769678973,1.0018432417821785,0.027267020351125434,-0.00040806916735501575,-1.779009909106583e-05,13,0.820844360069529,0.29560580867982367,1.082899280229589,0.8513591655836177,0.3914048849929667,0,0.44723088136222894,0.461680695387427,0.4475713150243102,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC10_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0175668544561505,0.29560580867982367,0.4,M95A60SC80TC4PC10_psi040Axt102A95,M95A60SC80TC4PC10_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC15_psi040Axt102A95,1.0260063948777467,1.0244497151493632,1.0189623942669543,1.0189174845613727,1.0239891112493364,1.0297305135722847,1.0179160539222714,1.0190085308337766,1.0240788524260431,1.0299549710645497,1.0102610933564602,1.0093569933038138,1.0013651541058197,0.027079536205662003,-7.894204664374294e-05,-0.0001730962468899405,13,0.526554939522228,-1.043166629521707,1.1018005327308134,0.8540017195334297,0.4017045283396069,0,0.44595188011896325,0.4607481859996524,0.4463572971241355,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC15_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0175732499667898,-1.043166629521707,0.4,M95A60SC80TC4PC15_psi040Axt102A95,M95A60SC80TC4PC15_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC20_psi040Axt102A95,1.0354018184018339,1.0330476384790817,1.0276272879210213,1.0277039110172659,1.0328255075602357,1.0381669441787342,1.0265453821739707,1.027671133289054,1.0330672660230562,1.0384770903908773,1.0263171397016546,1.0189746376293487,1.0099304048581061,0.02627968804755141,0.0006027523647629575,-0.0005252795058720715,13,0.3036052291242157,-1.415265242590138,1.1258864068080372,0.8267976479843552,0.4105158634508575,0,0.45848294307930276,0.4724123039860229,0.4589131429691251,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC20_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0173498114107935,-1.415265242590138,0.4,M95A60SC80TC4PC20_psi040Axt102A95,M95A60SC80TC4PC20_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC25_psi040Axt102A95,1.0411574405878568,1.0382707372265367,1.033185853248491,1.0333529502120637,1.0386629541412948,1.0437285330708295,1.0320756755299658,1.0333737589082919,1.0389238974865314,1.044044377411604,1.0325913442499524,1.0246957459394503,1.0154062681865819,0.026181124078268368,0.0012633193292001417,-0.0008871409335348784,13,0.28570026770644574,1.4763740341918066,1.1367225165091681,0.811940105602963,0.3909286472564633,0,0.465279298713008,0.47848048377058844,0.46566591656820566,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC25_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0173375610933433,1.4763740341918066,0.4,M95A60SC80TC4PC25_psi040Axt102A95,M95A60SC80TC4PC25_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC30_psi040Axt102A95,1.0470697238701503,1.0416153998279045,1.0382842320754793,1.0384633147928015,1.0446379889137696,1.0492921366903232,1.0370120872751338,1.038954911646315,1.0447178781991426,1.0494218556570714,1.0436934000569136,1.0304156161364968,1.0205666499277208,0.026699698764185813,0.002126538016388572,-0.0014136005023722693,13,0.11838261969383268,0.6326985662563089,1.1531811453907301,0.7992325612401392,0.3900098347117417,0,0.47104307839275084,0.4843135665004802,0.4712579348580283,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC30_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.017360534119955,0.6326985662563089,0.4,M95A60SC80TC4PC30_psi040Axt102A95,M95A60SC80TC4PC30_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC35_psi040Axt102A95,1.0466991538192807,1.0407197277788907,1.0372483984678131,1.0371644495673975,1.0435420527669492,1.0482974147491135,1.0359957805445725,1.0375033776390679,1.043373985560882,1.0482063335823504,1.05619647802003,1.0301605998146424,1.019615787296746,0.027670218609124473,0.0029271791430492133,-0.0019140687502682404,13,-0.28574053564788215,-0.525006435343613,1.1689972979879535,0.8025389496042039,0.4104255047583487,0,0.4693514557594394,0.4840803090018677,0.4694024208286589,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC35_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0172933877552206,-0.525006435343613,0.4,M95A60SC80TC4PC35_psi040Axt102A95,M95A60SC80TC4PC35_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC40_psi040Axt102A95,1.0554567090448193,1.0477923077436446,1.0447898341275923,1.045023168302042,1.0505709119683029,1.0551440953274311,1.0435083789951694,1.0450001280876113,1.0509331453728665,1.0555433047408647,1.07267113178232,1.0384878687904857,1.0267873070312643,0.029273148747619288,0.004420209050334599,-0.002854389540948148,13,-0.5177417928604129,0.02287527905582465,1.1890473978885086,0.7873976068268862,0.3996692452156422,0,0.4761141274642068,0.4917731897732064,0.47653774360116957,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC40_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0173609361201652,0.02287527905582465,0.4,M95A60SC80TC4PC40_psi040Axt102A95,M95A60SC80TC4PC40_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC45_psi040Axt102A95,1.0569538197749186,1.0484128844385778,1.0457056811411145,1.0454501604961624,1.0517174960089708,1.0562803881278344,1.0444318717137924,1.0458620829299556,1.051942000027127,1.0565693259200637,1.076916173336292,1.0400495432131174,1.0279825038759045,0.029700860704452194,0.0049066697472973445,-0.0031495620203638654,13,-0.5995138074331621,-0.04683899303114458,1.1945443139132317,0.7855364842511728,0.40009973140900273,0,0.47688651099145013,0.4929377435198691,0.47723050283791696,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC45_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0172407382405697,-0.04683899303114458,0.4,M95A60SC80TC4PC45_psi040Axt102A95,M95A60SC80TC4PC45_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC50_psi040Axt102A95,1.06589318992143,1.0548567034175853,1.0526671783378256,1.052434644861734,1.0583531000607727,1.062790883517244,1.051376922828633,1.0526770553022298,1.0588365396582176,1.0633024291867106,1.0969351545821802,1.0489384889055522,1.0346255895027627,0.03232505614055967,0.006769427886663543,-0.004333922780449052,13,-0.9196687496430513,-0.1553459399733157,1.2150513536100245,0.7732847660680329,0.399072856792301,0,0.4822094094932132,0.5003820089284424,0.4827217071695326,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC50_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.017266822815058,-0.1553459399733157,0.4,M95A60SC80TC4PC50_psi040Axt102A95,M95A60SC80TC4PC50_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC55_psi040Axt102A95,1.0724534327179311,1.0592482261564058,1.0574960573419687,1.0570318575245778,1.0631747372101195,1.0674919506482987,1.0561929815989275,1.0575057203429619,1.0637493262438695,1.068089625307059,1.107775444871057,1.0555101750486844,1.0393871278774927,0.034027694190716155,0.0078520111579943,-0.00502475320311918,13,-1.0369161645866996,0.3991194941567926,1.225275064503908,0.7648772635186794,0.38880819299940583,0,0.4858957960385081,0.5054889380941727,0.4864675800342346,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC55_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0174226993761755,0.3991194941567926,0.4,M95A60SC80TC4PC55_psi040Axt102A95,M95A60SC80TC4PC55_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC60_psi040Axt102A95,1.0777716014699024,1.062014235842642,1.060772590466453,1.0601473978136913,1.067713176087945,1.0716875086582822,1.0594287105163163,1.0606299015815162,1.0669713925295659,1.0712518686069084,1.1183923591669493,1.060769549260156,1.0426136670180841,0.035883068882427364,0.008861463343321642,-0.0056697310239800375,13,-1.1818596237487995,0.30902503080272936,1.2346719203288166,0.7586232118439825,0.39151936882195904,0,0.4885999693874796,0.5094276342743941,0.48866425751884585,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC60_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0174167326046129,0.30902503080272936,0.4,M95A60SC80TC4PC60_psi040Axt102A95,M95A60SC80TC4PC60_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC65_psi040Axt102A95,1.063473845842393,1.0524080149714692,1.0503049187669122,1.0497941226292093,1.0561196937868846,1.0606000763156649,1.0490130640511863,1.0502105769353194,1.0564508944215432,1.0610178292025991,1.0951282839316914,1.0461782496299736,1.032263094222283,0.032020644515778074,0.006666234449982218,-0.004254966564626946,13,-0.9396177233765357,-0.5802647748487573,1.213234857845884,0.7779031835469135,0.4001464424897159,0,0.48008233391919003,0.4982900337440803,0.4805361210680385,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC65_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0174779323658976,-0.5802647748487573,0.4,M95A60SC80TC4PC65_psi040Axt102A95,M95A60SC80TC4PC65_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC70_psi040Axt102A95,1.0712336149388222,1.0574651408592373,1.0557048081657272,1.0551916989004202,1.0612401650483982,1.0656427335033432,1.0544089744603256,1.0554971997366513,1.0618017207688952,1.0662468915169696,1.1121209736594522,1.054223672716677,1.0376085580717873,0.034630856755361206,0.00817207802032005,-0.005227140926863782,13,-1.196686606146983,-0.7968383373658128,1.2281027816566459,0.7689579454562345,0.3990723689056548,0,0.4839303690132439,0.5045611810721711,0.4845409388685499,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC70_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.017268800919818,-0.7968383373658128,0.4,M95A60SC80TC4PC70_psi040Axt102A95,M95A60SC80TC4PC70_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC75_psi040Axt102A95,1.077611492401661,1.0612571948474814,1.0599324834486368,1.0592641945499017,1.065538809922248,1.0698195179988805,1.0586178574563927,1.0597867206549707,1.0662060756629133,1.070524776037121,1.1204949449564998,1.0605740031848954,1.0417837936766108,0.036144829343952654,0.008913092087832225,-0.005706545427700201,13,-1.245710187728271,0.010798646853800165,1.2354848703247712,0.761526691988432,0.38879780050481433,0,0.48723140920325647,0.5091961475373631,0.4879155859712433,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC75_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0174207833546502,0.010798646853800165,0.4,M95A60SC80TC4PC75_psi040Axt102A95,M95A60SC80TC4PC75_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC80_psi040Axt102A95,1.0719635853257399,1.057120902787394,1.055849696975402,1.0551978832356734,1.061876622234075,1.0662286258522822,1.054538025096953,1.0557152130296374,1.062260621925504,1.0666993199337884,1.1102135544024128,1.054776038067218,1.037953496776983,0.03426098313230275,0.007999281702586809,-0.005097268824134414,13,-1.1210277753653628,-1.6240857963898776,1.226491120348479,0.7678345891694981,0.3901627424591809,1.4802730972325406,0.48449459815165896,0.5047931543791486,0.4850138230375834,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC80_psi040Axt102A95/MISES/,0.6670306805017256,0.04,0.8009565270152262,0.8,0.95,50.24425937637516,0.95,0.6033514421458711,1.0172418131004806,-1.6240857963898776,0.4,M95A60SC80TC4PC80_psi040Axt102A95,M95A60SC80TC4PC80_psi040Axt102A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.24425937637516
M95A60SC80TC4PC15_psi040Axt101A95,1.0312050527829486,1.0289555858039723,1.0235779089238408,1.0237169220386444,1.0290853468840238,1.0343733292521036,1.0228213573495846,1.0238215219783775,1.0288259564569333,1.034381445171942,1.008706627302221,1.0230059680768269,1.0146146596945296,0.026849467002392706,-7.681761663992301e-05,-0.00017866572469446397,13,0.7504727523263028,0.6488838267714669,1.1076904709847766,0.8374959515481903,0.4089543746083491,0,0.4537106717382999,0.4668117888053837,0.4539844615794905,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC4PC15_psi040Axt101A95/MISES/,0.663580556760129,0.04,0.8009565270152262,0.8,0.95,50.60372444234341,0.95,0.6003756189649856,1.0087457786731726,0.6488838267714669,0.4,M95A60SC80TC4PC15_psi040Axt101A95,M95A60SC80TC4PC15_psi040Axt101A95,_0.8,_0.04,_0.8009565270152262,_0.4,_0.95,_50.60372444234341
